,Breed,Description,Group,Origin,Life Expectancy,Related Breeds,Temperament,Adaptability Level,Affectionate With Family,Barking Level,Coat Grooming Frequency,Good with Young Children,Coat Length,Coat Type,Drooling Level,Energy Level,Good With Other Dogs,Mental Stimulation Needs,Openness to Strangers,Playfulness Level,Shedding Level,Trainability Level,Min Height,Max Height,Min Weight,Max Weight
120,German Shepherd Dog,"Generally considered dogkind's finest all-purpose worker, the German Shepherd Dog is a large, agile, muscular dog of noble character and high intelligence. Loyal, confident, courageous, and steady, the German Shepherd is truly a dog lover's delight.",Herding Group,Germany,12-14 years,"Belgian Malinois, Czechoslovakian Vlciak, Belgian Sheepdog, Dutch Shepherd, Belgian Tervuren",courageous / confident / smart,5,5,3,2,5,0,['Double'],2,5,3,5,3,4,4,5,22,26,50,90
121,German Shorthaired Pointer,"The versatile, medium-sized German Shorthaired Pointer is an enthusiastic gundog of all trades who thrives on vigorous exercise, positive training, and a lot of love. GSP people call their aristocratic companions the 'perfect pointer.'",Sporting Group,Germany,10-12 years,"German Wirehaired Pointer, Portuguese Pointer, Slovakian Wirehaired Pointer, German Longhaired Pointer, Pointer",friendly / smart / willing to please,4,5,3,2,5,0,['Smooth'],2,5,4,5,4,4,3,5,21,25,45,70
122,German Spitz,"<p>The German Spitz is always attentive, lively and exceptionally devoted to his owner. He is very teachable and easy to train. His distrust towards strangers and lack of hunting instinct make him the ideal watchdog for the home. His indifference to weather, robustness and longevity are his most outstanding attributes.</p>",Miscellaneous Class,Germany,13-15 years,"Pomeranian, Keeshond, Papillon, Chihuahua, American Eskimo Dog",active / devoted / smart,3,1,5,3,3,0,[],1,3,3,5,1,4,3,5,12,15,24,26
123,German Wirehaired Pointer,"With his sporty weatherproof coat and can-do attitude, the noble German Wirehaired Pointer is a versatile, sturdy gundog who thrives on outdoor activity. Around the house, the GWP is an eager, affectionate, and amusing family companion.",Sporting Group,Germany,14-16 years,"German Shorthaired Pointer, Wirehaired Vizsla, Pudelpointer, Slovakian Wirehaired Pointer, Wirehaired Pointing Griffon",affectionate / eager / enthusiastic,4,5,3,2,3,0,"['Double', 'Wiry']",2,5,3,4,4,4,2,5,22,26,50,70
124,Giant Schnauzer,"<p>The Giant Schnauzer is a larger and more powerful version of the Standard Schnauzer, and he should, as the breed standard says, ""be a bold and valiant figure of a dog."" Great intelligence and loyalty make him a stellar worker and companion.</p>",Working Group,Germany,10-13 years,"Standard Schnauzer, Black Russian Terrier, Great Dane, Bouvier des Flandres, Miniature Schnauzer",alert / loyal / trainable,4,4,3,4,3,0,"['Double', 'Wiry']",2,5,3,5,2,5,2,3,23.5,27.5,55,95
125,Glen of Imaal Terrier,"Gentler, less excitable than most terriers, but still bold and spirited, the double-coated Glen of Imaal Terrier is named for one of Ireland's most remote locales. The brave but docile Glen is a strong, no-fuss dog built for hard work.",Terrier Group,Ireland,10-15 years,"Skye Terrier, Dandie Dinmont Terrier, Norfolk Terrier, Sealyham Terrier, Norwich Terrier",spirited / gentle / bold,4,5,2,3,3,0,['Wiry'],2,3,3,3,3,3,2,3,12.5,14,32,40
126,Golden Retriever,"The Golden Retriever, an exuberant Scottish gundog of great beauty, stands among America's most popular dog breeds. They are serious workers at hunting and field work, as guides for the blind, and in search-and-rescue, enjoy obedience and other competitive events, and have an endearing love of life when not at work.",Sporting Group,Scotland,10-12 years,"Labrador Retriever, Flat-Coated Retriever, Chesapeake Bay Retriever, Curly-Coated Retriever, Nova Scotia Duck Tolling Retriever",intelligent / friendly / devoted,5,5,1,2,5,0,['Double'],2,3,5,4,5,4,4,5,21.5,24,55,75
127,Gordon Setter,"The Gordon Setter, the black avenger of the Highlands, is a substantial bird dog named for a Scottish aristocrat. Athletic and outdoorsy, Gordons are bold, confident, and resolute in the field, and sweetly affectionate by the fireside.",Sporting Group,Scotland,12-13 years,"English Setter, Collie, Irish Red and White Setter, Border Collie, Irish Setter",confident / affectionate / bold,4,5,3,2,3,0,['Double'],4,5,3,4,3,3,3,5,23,27,45,80
128,Grand Basset Griffon Vendéen,"The Grand Basset Griffon Vendéen is a French scenthound. Somewhat active and never high-strung, yet GBGVs are busy dogs who don't tire easily.",Hound Group,France,13-15 years,"Basset Hound, Otterhound, Wirehaired Pointing Griffon, Basset Fauve de Bretagne",independent / outgoing / happy,4,5,4,2,3,0,"['Double', 'Wiry']",2,5,4,4,5,4,3,3,15.5,18,40,45
129,Great Dane,"<p>The easygoing Great Dane, the mighty ""Apollo of Dogs,"" is a total joy to live with, but owning a dog of such imposing size, weight, and strength is a commitment not to be entered into lightly. This breed is indeed great, but not a Dane.</p>",Working Group,Germany,7-10 years,"Mastiff, Weimaraner, Beauceron, German Pinscher, Doberman Pinscher",friendly / patient / dependable,4,5,3,1,3,0,['Smooth'],4,4,3,4,3,4,3,3,28,32,110,175
130,Great Pyrenees,"The Great Pyrenees is a large, thickly coated, and immensely powerful working dog bred to deter sheep-stealing wolves and other predators on snowy mountaintops. Pyrs today are mellow companions and vigilant guardians of home and family.",Working Group,France,10-12 years,"Pyrenean Mastiff, Kuvasz, Braque Francais Pyrenean, Pyrenean Shepherd, Slovensky Cuvac",smart / patient / calm,3,5,3,2,3,0,['Double'],3,3,3,3,3,3,3,3,25,32,85,100
131,Greater Swiss Mountain Dog,"<p>The Greater Swiss Mountain Dog is a large, immensely strong worker famous for a dense coat of striking black, red, and white markings. Dependable and faithful Swissies earned their feed as herders, drafters, and all-around pasture dogs.</p>",Working Group,Switzerland,8-11 years,"Bernese Mountain Dog, Appenzeller Sennenhund, Rottweiler, Saint Bernard, Entlebucher Mountain Dog",faithful / family-oriented / dependable,3,5,3,2,5,0,['Smooth'],3,4,3,4,5,4,3,4,23.7,28.5,85,140
132,Greyhound,"The champion sprinter of dogdom, the Greyhound is a gentle, noble, and sweet-tempered companion with an independent spirit. For thousands of years these graceful hounds have been an object of fascination for artists, poets, and kings.",Hound Group,Egypt,10-13 years,"Italian Greyhound, Whippet, Saluki, Azawakh, Sloughi",independent / gentle / noble,4,4,3,1,3,0,['Smooth'],1,4,4,3,3,3,2,3,27,30,60,70
133,Hamiltonstovare,"<p>The Hamiltonstovare is a versatile scent hound, bred to hunt hare and fox in Sweden. When not hunting, they can be found in the show ring, as their striking color makes them a stunning show dog. Hamiltons have been used as service dogs in America since the late 90's, where their versatility and close bond with their people shine.</p>",Foundation Stock Service,Sweden,14-17 years,"Harrier, English Foxhound, American Foxhound, Bavarian Mountain Scent Hound, Transylvanian Hound",versatile / agile / regal,3,5,3,2,5,0,['Smooth'],2,4,3,4,5,4,3,4,19,24,40,75
134,Hanoverian Scenthound,"<p>The Hanoverian Scenthound has a calm and assured temperament, at the same time sensitive with his handler, and choosy and discerning with strangers. He has high capabilities of concentration in any tracking work with strong loyalty to the hunter in charge.</p>",Foundation Stock Service,Germany,10-14 years,"Bloodhound, Transylvanian Hound, Rhodesian Ridgeback, Hamiltonstovare, Bavarian Mountain Scent Hound",independent / loyal / calm,3,3,4,2,3,0,['Smooth'],2,4,5,3,3,3,3,4,19,21,79,99
135,Harrier,"<p>The Harrier is a swift, prey-driven pack hound of medium size first bred in medieval England to chase the hare. Outgoing and friendly, the Harrier is much larger than the Beagle but smaller than another close relative, the English Foxhound.</p>",Hound Group,England,12-15 years,"American Foxhound, English Foxhound, Transylvanian Hound, Beagle, Hamiltonstovare",friendly / outgoing / people-oriented,4,5,5,1,5,0,['Double'],2,4,5,4,4,4,3,4,19,21,45,60
136,Havanese,"Havanese, the only dog breed native to Cuba, are cheerful little dogs with a spring in their step and a gleam in their big, brown eyes. These vivacious and sociable companions are becoming especially popular with American city dwellers.",Toy Group,Cuba,14-16 years,"Lhasa Apso, Bolognese, Coton de Tulear, Russian Tsvetnaya Bolonka, Silky Terrier",intelligent / outgoing / funny,5,5,4,3,5,0,"['Silky', 'Double']",1,3,5,3,5,5,2,4,8.5,11.5,7,13
137,Hokkaido,"<p>The Hokkaido is a dog of noteworthy endurance and dignity. His temperament is faithful, docile, very alert and bold. He also shows accurate judgement and great stamina.</p>",Foundation Stock Service,Japan,12-15 years,"Kai Ken, Shikoku, Kishu Ken, Akita, Shiba Inu",dignified / alert / devoted,3,5,3,2,3,0,['Double'],2,4,3,4,3,3,3,4,18,20,44,66
138,Hovawart,"<p>The Hovawart is a medium-temperament working dog with versatile usage and has a very good nose. He is kind, has an even disposition and protective instinct, is self-confident and has the ability to take stress. His balanced body proportions and special devotion to his family make him an outstanding companion, watch, guard, tracking and rescue-dog.</p>",Foundation Stock Service,Germany,10-14 years,"Estrela Mountain Dog, Bernese Mountain Dog, Great Pyrenees, Kuvasz, Leonberger",alert / intelligent / faithful,4,5,1,2,4,0,['Double'],2,3,4,4,4,4,3,4,23,28,65,90
139,Ibizan Hound,"<p>The Ibizan Hound is a lithe and leggy visitor from the dawn of civilization, bred as a rabbit courser on the rocky shores of Spain's Balearic Islands. World-class sprinters and leapers, Ibizans need ample space to air out their engines.</p>",Hound Group,Spain,11-14 years,"Pharaoh Hound, Basenji, Greyhound, Portuguese Podengo, Cirneco dell'Etna",family-oriented / even-tempered / polite,4,5,3,1,3,0,"['Smooth', 'Wiry']",1,5,5,5,3,4,2,3,22.5,27.5,45,50
140,Icelandic Sheepdog,"<p>The Icelandic Sheepdog, Iceland's only native dog breed, is a charmingly friendly and faithful all-around herder of small-to-medium size. A densely coated Nordic spitz-type breed, Icelandics are enthusiastically devoted to their humans.</p>",Herding Group,Iceland,12-14 years,"Finnish Lapphund, Norwegian Buhund, Eurasier, Keeshond, Swedish Lapphund",friendly / playful / inquisitive,4,5,4,2,5,0,['Double'],2,4,4,5,3,3,3,5,16.5,18,25,30
141,Irish Red and White Setter,"<p>The rollicking Irish Red and White Setter is an athletic medium-sized bird dog bred primarily for hunting. Fun-loving, friendly, and high-spirited, Irish Red and Whites are a bit shorter and stockier than their cousin the Irish Setter.</p>",Sporting Group,Ireland,11-15 years,"English Setter, Irish Setter, English Springer Spaniel, Welsh Springer Spaniel, Gordon Setter",courageous / spirited / determined,5,5,3,2,5,0,"['Silky', 'Double']",2,5,5,3,5,3,2,5,22.5,26,35,60
142,Irish Setter,"The Irish Setter is a high-spirited gundog known for grace, swiftness, and a flashy red coat. They are famously good family dogs: sweet-tempered companions for the folks, and rollicking playmates and tennis-ball fetchers for the children.",Sporting Group,Ireland,12-15 years,"English Setter, Irish Red and White Setter, English Springer Spaniel, Brittany, Gordon Setter",active / sweet-natured / outgoing,4,5,3,3,5,0,['Silky'],2,5,5,4,5,5,3,4,25,27,60,70
143,Irish Terrier,"The Irish Terrier, 'Daredevil' of the Emerald Isle, is a bold, dashing, and courageous terrier of medium size. Known for his fiery red coat and a temperament to match, the Irish Terrier is stouthearted at work and tenderhearted at home.",Terrier Group,Ireland,13-15 years,"Welsh Terrier, Lakeland Terrier, Soft Coated Wheaten Terrier, Kerry Blue Terrier, Airedale Terrier",bold / dashing / tenderhearted,4,5,3,1,5,0,"['Double', 'Wiry']",1,3,1,4,3,3,2,3,18,18,25,27
144,Irish Water Spaniel,"The tallest of the AKC's spaniels, the Irish Water Spaniel is instantly recognizable by its crisply curled coat and tapering 'rat tail.' Among the champion swimmers of dogdom, the alert and inquisitive IWS is hardworking and brave in the field, and playfully affectionate at home.",Sporting Group,Ireland,12-13 years,"American Water Spaniel, Barbet, Portuguese Water Dog, Spanish Water Dog",playful / hardworking / brave,4,5,1,3,3,0,['Curly'],2,3,3,4,3,5,1,5,21,24,45,68
145,Irish Wolfhound,"<p>The calm, dignified, and kindly Irish Wolfhound is the tallest of all AKC breeds. Once fearless big-game hunters capable of dispatching a wolf in single combat, Wolfhounds today are the most serene and agreeable of companions.</p>",Hound Group,Ireland,6-8 years,"Scottish Deerhound, Greyhound, Afghan Hound, Great Dane, Borzoi",dignified / courageous / calm,3,5,1,2,3,0,['Wiry'],2,3,4,3,3,3,3,3,30,32,105,120
146,Italian Greyhound,"A true Greyhound in miniature, the elegant Italian Greyhound is an alert, playful, and highly affectionate toy companion. IGs make decorative couch dogs, but at heart they are flash-and-dash coursing hounds with an instinct for pursuit.",Toy Group,The Mediterranean basin,14-15 years,"Whippet, Greyhound, Toy Fox Terrier, Miniature Pinscher",alert / playful / sensitive,4,5,3,1,3,0,['Smooth'],1,3,5,3,5,4,3,4,13,15,7,14
147,Jagdterrier,"<p>Also known as the Deutscher Jagdterrier, the Jagdterrier is courageous, enduring, vital, full of temperament, reliable, sociable and trainable. He always takes pleasure in his work.</p>",Foundation Stock Service,Germany,10-12 years,"Border Terrier, Smooth Fox Terrier, Dachshund, Australian Terrier, Wire Fox Terrier",intelligent / courageous / hardworking,3,5,1,1,3,0,"['Rough', 'Smooth', 'Wiry']",1,3,3,4,3,4,2,3,13,16,17,22
148,Japanese Akitainu,"<p>Descending from regional hunting dogs, the Japanese Akitainu was initially restored and preserved by dedicated breeders in the Akitainu Hozonkai (Akita Dog Preservation Society; AKIHO). The breed is known for its striking appearance and its physical and mental agility.</p>
<p><br>
 Club Contact</p>
<p>Japanese Akitainu Club of America - akita-inu.com</p>
<p>Email: info@akita-inu.com</p>",Miscellaneous Class,Japan,10-12 years,"Akita, Shikoku, Kai Ken, Kishu Ken",dignified / alert / aloof,3,1,3,3,3,0,['Double'],1,3,1,3,1,3,5,1,22,27.5,55,75
149,Japanese Chin,"The Japanese Chin is a charming toy companion of silky, profuse coat and an unmistakably aristocratic bearing. Often described as a distinctly 'feline' breed, this bright and amusing lapdog is fastidious, graceful, and generally quiet.",Toy Group,Japan,10-12 years,"Pekingese, Shih Tzu, Chihuahua, Tibetan Spaniel, English Toy Spaniel",charming / loving / noble,4,5,2,2,3,0,['Silky'],1,3,5,3,3,3,3,3,8,11,7,11
150,Japanese Spitz,"<p>The Japanese Spitz are little comedians who want to make you happy and laugh. They are very loyal and smart and make wonderful companions. Game for adventures, they will tag along on a hike, a car ride, or a trip to the beach or lake. They love their humans and just enjoy being with them.</p>",Foundation Stock Service,Japan,10-14 years,"Affenpinscher, American Eskimo Dog, German Spitz","loyal, playful, smart",5,3,3,3,5,0,['Double'],1,3,5,3,5,3,3,5,12,15,10,25
151,Japanese Terrier,"<p>Japanese Terriers are a small, highly intelligent breed full of terrier temperaments. They are independent, active, crisp, and lively. As one-person dogs, they are often reserved with strangers. Keen and alert, Japanese Terriers will hear the slightest noise and give warning to any stranger. He has no issue with respectful children and other dogs. As a sporting terrier and versatile, eager-to-learn dog, he has great athleticism and inborn instincts. By the 1900s, at the end of the Meiji Era, some of these best dogs were seen in the Kobe streets, and were called the ""Kobe Terriers"". The appearance of these ""Kobe Terriers"" was like a mix of the modern Smooth Fox Terriers and the Japanese Terriers. These dogs were the first terrier-type dogs to be bred in Japan. The dogs had several names like ""Oyuki Terriers"" and ""Mikado Terriers"", and were kept by the Japanese as well as some foreigners.</p>",Foundation Stock Service,Japan,13-15 years,"American Hairless Terrier, Toy Fox Terrier, Smooth Fox Terrier",reserved / independent / curious,5,3,1,2,3,0,['0'],1,3,3,3,3,3,3,1,10,13,10,12
152,Kai Ken,"<p>The Kai Ken is a medium-sized dog and is one of the six native Japanese breeds. Traditionally used to hunt a wide range of game in the mountains of Japan, the Kai Ken is considered a rare breed even in Japan. The Kai is highly intelligent and learns quickly. They seem to learn as fast as the other Japanese breeds if not faster. They are not as independent and are more willing to please their companions. The Japanese describe the Kai Ken as a trustworthy guardian and extremely devoted to his master.</p>",Miscellaneous Class,Japan,12-15 years,"Shikoku, Kishu Ken, Korean Jindo Dog, Hokkaido, Shiba Inu",loyal / intelligent / agile,3,5,3,1,3,0,['Double'],1,3,3,3,1,3,3,3,15.5,19.5,25,40
153,Karelian Bear Dog,"<p>The Karelian Bear Dog is an eager hunter and very independent, yet works cooperatively to mark game by barking. Their senses, especially smell, are sharp, thus the breed is suitable for big game hunting. They have a very good sense of direction, are balanced, courageous and persistent. This breed has a highly developed spirit for game and are very self-confident. They may be territorial towards other males, but are never aggressive towards people, though they may be slightly reserved.</p>",Foundation Stock Service,Finland,11-13 years,"Finnish Spitz, Norwegian Elkhound, Swedish Lapphund, Eurasier, Norwegian Buhund",independent / loyal / courageous,3,3,3,3,1,0,['Double'],2,3,3,3,3,3,3,4,19,23.5,44,49
154,Keeshond,"<p>The amiable Keeshond is a medium-sized spitz dog of ample coat, famous for the distinctive ""spectacles"" on his foxy face. Once a fixture on the canal barges of his native Holland, the Kees was, and remains, a symbol of Dutch patriotism.</p>",Non-Sporting Group,The Netherlands,12-15 years,"Icelandic Sheepdog, American Eskimo Dog, Pomeranian, German Spitz, Schipperke",friendly / lively / outgoing,5,5,4,3,5,0,['Double'],2,4,5,4,5,5,3,5,17,18,35,45
155,Kerry Blue Terrier,"Among the largest of AKC terriers, the Kerry Blue Terrier is famous for his show-stopping blue coat. Named for the Irish county of his birth, this onetime farm dog is today an alert, adaptable, and animated watchdog and family companion.",Terrier Group,Ireland,12-15 years,"Irish Terrier, Airedale Terrier, Standard Schnauzer, Soft Coated Wheaten Terrier, Welsh Terrier",alert / smart / people-oriented,3,5,4,3,4,0,['Wavy'],2,4,2,4,3,3,1,3,17.5,19.5,33,40
156,Kishu Ken,"<p>The Kishu Ken is a dog of noteworthy endurance, showing nobility, dignity and naive feeling. His temperament is faithful, docile and very alert.</p>",Foundation Stock Service,Japan,12-15 years,"Hokkaido, Shikoku, Shiba Inu, Korean Jindo Dog, Kai Ken",alert / good-natured / confident,3,5,1,1,3,0,['Double'],1,3,3,5,5,3,3,3,17,22,30,60
157,Komondor,"A powerfully large Hungarian flock guardian covered in profuse white cords from head to tail, the Komondor is among the world's most recognizable breeds. The independent and protective Kom requires a firm, experienced hand at training.",Working Group,Hungary,10-12 years,"Bergamasco Sheepdog, Polish Lowland Sheepdog, Old English Sheepdog, Portuguese Sheepdog, Puli",dignified / loyal / brave,3,5,3,4,3,0,['Corded'],2,3,2,3,3,3,1,4,25.5,27.5,80,100
158,Korean Jindo Dog,"<p>Loyal, watchful, and intelligent, the Jindo developed as a breed on an island off the coast of South Korea. Medium-sized and natural in appearance, they are valued as independent hunters, discerning guardians, and loyal companions.</p>",Foundation Stock Service,South Korea,14-15 years,"Kishu Ken, Shikoku, Akita, Kai Ken, Hokkaido, Shiba Inu",alert / loyal / intelligent,1,3,3,3,3,0,['Double'],1,3,1,3,1,3,3,3,17,22,30,50
159,Kromfohrlander,"<p>The Kromfohrlander is a medium-sized companion breed that is sensitive, loving and loyal to its owners. He has a distinctive 'smile' and will sneeze to greet you. Pronunciation of the breed is ""krome-for-lahn-dair.""</p>",Foundation Stock Service,Germany,13-15 years,"Wire Fox Terrier, Jagdterrier, Smooth Fox Terrier, Basset Fauve de Bretagne",intelligent / active / sensitive,4,5,3,1,4,0,"['Smooth', 'Wiry']",1,4,3,3,4,4,2,4,15,18,20,35
160,Kuvasz,"<p>The snow-white Kuvasz is Hungary's majestic guardian of flocks and companion of kings. A working dog of impressive size and strength, the imposing and thickly coated Kuvasz is a beautiful, smart, profoundly loyal, but challenging breed.</p>",Working Group,Hungary,10-12 years,"Tibetan Mastiff, Pyrenean Mastiff, Central Asian Shepherd Dog, Hovawart, Great Pyrenees",loyal / fearless / sweet,4,5,3,2,3,0,['Double'],2,3,3,3,3,3,3,5,26,30,70,115
161,Labrador Retriever,"<p>The sweet-faced, lovable Labrador Retriever is one of America's most popular dog breeds, year after year. Labs are friendly, outgoing, and high-spirited companions who have more than enough affection to go around for a family looking for a medium-to-large dog.</p>",Sporting Group,Canada,11-13 years,"Nova Scotia Duck Tolling Retriever, Chesapeake Bay Retriever, Flat-Coated Retriever, Curly-Coated Retriever, Golden Retriever",active / friendly / outgoing,5,5,3,2,5,0,['Double'],2,5,5,4,5,5,4,5,21.5,24.5,55,80
162,Lagotto Romagnolo,"<p>The Lagotto Romagnolo, Italy's adorable 'truffle dog,' sports a curly coat and lavish facial furnishings. Despite their plush-toy looks, Lagotti are durable workers of excellent nose who root out truffles, a dainty and pricey delicacy.</p>",Sporting Group,Italy,15-17 years,"Spanish Water Dog, Portuguese Water Dog",affectionate / keen / undemanding,4,5,2,2,3,0,"['Curly', 'Double']",2,4,5,4,4,4,1,4,16,19,24,35
163,Lakeland Terrier,"<p>A bold, zesty ""big dog in a small package,"" the Lakeland Terrier, named for the Lake District of his native England, was once a farmer's dog bred to work in packs on sheep-stealing foxes. The Lakie's coat is hard, wiry, and low-shedding.</p>",Terrier Group,England,12-15 years,"Irish Terrier, Airedale Terrier, Soft Coated Wheaten Terrier, Kerry Blue Terrier, Welsh Terrier",friendly / confident / bold,4,5,3,2,3,0,"['Double', 'Wiry']",1,3,3,4,3,4,2,3,14.5,15,,17
164,Lancashire Heeler,"<p>The Lancashire Heeler is a medium to high energy dog. Intelligent, alert and friendly, they are quick to learn new tasks. A sturdy little dog with a short, weather-resistant coat of black and tan or liver and tan, they are affectionate with their owners, always happy, talkative and always ready for a walk. Their small size is what gives them their charm.</p>",Herding Group,Unknown,12-15 years,"Pembroke Welsh Corgi, Teddy Roosevelt Terrier, Cardigan Welsh Corgi",intelligent / versatile / affectionate,4,5,4,1,5,0,['Double'],1,4,5,4,4,4,3,4,10,12,9,17
165,Lapponian Herder,"<p>The Lapponian Herder is a medium-sized dog with a medium coat, making them easy to maintain and perfect for any experienced dog owner. They are a wonderful, rounded, diversified dog breed ready to problem solve any task given to them. They can fit into most living environments as long as they are given jobs to do. This breed comes in many colors including grey-brown, black often with lighter undercoats, and white or tan markings. They are aloof with strangers but love their people.</p>",Foundation Stock Service,Finland,10-14 years,"Finnish Lapphund, Swedish Lapphund, Norwegian Buhund, Yakutian Laika, Finnish Spitz",intelligent / friendly / energetic,4,5,4,2,3,0,['Double'],2,4,3,4,3,3,3,4,18,20,70,70
166,Large Munsterlander,<p>The pleasing nature of the Large Munsterlander provides a cooperative and reliable companion in the field and home.</p>,Foundation Stock Service,Germany,12-14 years,"Small Munsterlander, Stabyhoun, German Longhaired Pointer",intelligent / affectionate / self-confident,3,4,2,1,4,0,[],2,4,3,4,4,3,3,5,23,26.5,50,70
167,Leonberger,<p>The Leonberger is a lush-coated giant of German origin. They have a gentle nature and serene patience and they relish the companionship of the whole family.</p>,Working Group,Germany,7 years,"Estrela Mountain Dog, Saint Bernard, Bernese Mountain Dog, Hovawart, Newfoundland",friendly / playful / gentle,4,5,3,4,5,0,['Double'],3,3,3,4,5,3,4,5,25.5,31.5,90,170
168,Lhasa Apso,"<p>The lavishly coated Lhasa Apso is a thousand-year-old breed who served as sentinels at palaces and monasteries isolated high in the Himalayas. Smart, confident, and complex, Lhasas are family comedians but regally aloof with strangers.</p>",Non-Sporting Group,Tibet,12-15 years,"Shih Tzu, Havanese, Russian Tsvetnaya Bolonka, Bolognese, Coton de Tulear",confident / smart / comical,5,5,3,3,3,0,['Silky'],1,3,3,3,3,3,1,3,10,11,12,18
169,Löwchen,"A companion dog whose name is German for 'little lion,' the Löwchen has been a popular pet among Continental Europeans for more than 500 years. The portable, non-shedding Löwchen is said to be affectionate, lively, and brave as a lion.",Non-Sporting Group,Unknown,13-15 years,"Lhasa Apso, Havanese, Biewer Terrier, Portuguese Water Dog, Tibetan Terrier",affectionate / outgoing / positive,4,5,3,2,5,0,['Wavy'],1,3,3,3,3,4,2,4,12,14,15,15
170,Maltese,"<p>The tiny Maltese, 'Ye Ancient Dogge of Malta,' has been sitting in the lap of luxury since the Bible was a work in progress. Famous for their show-stopping, floor-length coat, Maltese are playful, charming, and adaptable toy companions.</p>",Toy Group,Malta,12-15 years,"Yorkshire Terrier, Biewer Terrier, Coton de Tulear, Bichon Frise, Silky Terrier",playful / charming / gentle,4,5,3,4,3,0,['Silky'],1,3,3,3,3,3,1,3,7,9,7,7
171,Manchester Terrier (Standard),"The Manchester Terrier is named after the English city where it was first bred. Sleek, racy dogs who possess a terrier's ratting instinct and the graceful contours of coursing hounds, Manchesters are spirited, bright, and athletic. They combine the streamlined grace of a coursing hound and the instincts of a fearless rat terrier. These racy dogs come in two size varieties:  Standard (not exceeding 22 pounds) and Toy (not exceeding 12 pounds).",Terrier Group,England,15-17 years,"Whippet, Miniature Pinscher, Doberman Pinscher, German Pinscher",bright / spirited / keenly observant,4,5,4,2,4,0,['Smooth'],1,4,3,3,3,4,2,4,15,16,12,22
172,Manchester Terrier (Toy),"The Manchester Terrier is named after the English city where it was first bred. Sleek, racy dogs who possess a terrier's ratting instinct and the graceful contours of coursing hounds, Manchesters are spirited, bright, and athletic. They combine the streamlined grace of a coursing hound and the instincts of a fearless rat terrier. These racy dogs come in two size varieties:  Toy (not exceeding 12 pounds) and <a href=""https://www.akc.org/dog-breeds/manchester-terrier-standard/"">Standard</a> (not exceeding 22 pounds).",Toy Group,England,15-17 years,"Manchester Terrier (Standard), Rat Terrier, Miniature Pinscher, Toy Fox Terrier, Italian Greyhound",intelligent / agile / spirited,4,5,4,2,4,0,['Smooth'],1,4,3,3,3,4,2,4,10,12,12,12
173,Mastiff,"The colossal Mastiff belongs to a canine clan as ancient as civilization itself. A massive, heavy-boned dog of courage and prodigious strength, the Mastiff is docile and dignified but also a formidable protector of those they hold dear.",Working Group,England,6-10 years,"Neapolitan Mastiff, Bullmastiff, Pyrenean Mastiff, Tibetan Mastiff, Spanish Mastiff",dignified / good-natured / courageous,4,5,1,1,5,0,['Double'],4,3,3,3,3,3,3,3,27.5,30,120,230
174,Miniature American Shepherd,"The Miniature American Shepherd resembles a small Australian Shepherd. True herders in spite of their compact size, Minis are bright, self-motivated workers and endearingly loyal and lively companion dogs who have an affinity for horses.",Herding Group,United States,12-13 years,"Australian Shepherd, Australian Cattle Dog, Pumi, Shetland Sheepdog, Mudi",intelligent / good-natured / devoted,4,5,3,3,5,0,['Double'],2,5,5,5,3,4,3,5,13,18,20,40
175,Miniature Bull Terrier,"<p>In most every way the Miniature Bull Terrier is a Bull Terrier, only smaller. These upbeat, mischievous dogs come equipped with terrier fire and fearlessness. If ever a dog could claim the title 'Clown Prince of Dogdom,' it's the Mini.</p>",Terrier Group,England,11-13 years,"Bulldog, Staffordshire Bull Terrier, French Bulldog, American Staffordshire Terrier, Bull Terrier",upbeat / mischievous / comical,4,5,5,1,3,0,['Smooth'],2,4,3,4,3,4,2,3,10,14,18,28
176,Miniature Pinscher,"The leggy Miniature Pinscher is known to fans as the 'King of Toys.' This proud, fearless, fun-loving toy breed of lustrous coat and a compact, wedge-shaped physique is a true personality dog, known for a high-stepping 'hackney' gait.",Toy Group,Germany,12-16 years,"Toy Fox Terrier, Rat Terrier, Italian Greyhound, Manchester Terrier (Toy), German Pinscher",fearless / proud / fun-loving,4,5,5,1,3,0,['Smooth'],1,5,4,5,3,4,3,3,10,12.5,8,10
177,Miniature Schnauzer,"The Miniature Schnauzer, the smallest of the three Schnauzer breeds, is a generally healthy, long-lived, and low-shedding companion. Add an outgoing personality, a portable size, and sporty good looks, and you've got an ideal family dog.",Terrier Group,Germany,12-15 years,"Standard Schnauzer, Kerry Blue Terrier, Giant Schnauzer, Brussels Griffon",friendly / smart / obedient,5,5,5,4,5,0,"['Double', 'Wiry']",2,3,3,4,3,4,3,5,12,14,11,20
178,Mountain Cur,"<p>The Mountain Cur is a hunting dog with a good treeing instinct. It is a very courageous fighter and extremely intelligent, doing whatever job its master desires. The dogs were a crucial part of the cultures of early pioneers, settlers, and homesteaders.</p>",Foundation Stock Service,United States,10-13 years,"American Leopard Hound, Carolina Dog, Plott Hound, Treeing Walker Coonhound, Treeing Tennessee Brindle",intelligent / reserved with strangers / strong-willed,3,3,5,3,3,0,['Smooth'],1,5,3,5,1,5,3,5,16,26,30,60
